Symbol,Company Name,Industry,Market Cap
ALVO,Alvotech,Drug Manufacturers - Specialty & Generic,3789590820
ALVR,"AlloVir, Inc.",Biotechnology,77574246
ALX,"Alexander's, Inc.",REIT - Retail,1150774583
ALXO,ALX Oncology Holdings Inc.,Biotechnology,665579168
ALYA,Alithya Group Inc.,Information Technology Services,140590443
ALZN,"Alzamend Neuro, Inc.",Biotechnology,6340983
AM,Antero Midstream Corporation,Oil & Gas Midstream,5934049810
AMAL,Amalgamated Financial Corp.,Banks - Regional,801783168
AMAM,Ambrx Biopharma Inc.,Biotechnology,1756659760
AMAT,"Applied Materials, Inc.",Semiconductor Equipment & Materials,139868576100
AMBA,"Ambarella, Inc.",Semiconductor Equipment & Materials,2294141700
AMBC,"Ambac Financial Group, Inc.",Insurance - Specialty,735314515
AMBI,Ambipar Emergency Response,Waste Management,360294038
AMBO,Ambow Education Holding Ltd.,Education & Training Services,4113182
AMBP,Ardagh Metal Packaging S.A.,Packaging & Containers,2276814090
AMC,"AMC Entertainment Holdings, Inc.",Entertainment,888639360
AMCR,Amcor plc,Packaging & Containers,13672916400
AMCX,AMC Networks Inc.,Entertainment,811910477
AMD,"Advanced Micro Devices, Inc.",Semiconductors,271694790000
AME,"AMETEK, Inc.",Specialty Industrial Machinery,37657164840
AMED,"Amedisys, Inc.",Medical Care Facilities,3093310507
AMEH,"Apollo Medical Holdings, Inc.",Medical Care Facilities,2150082004
AMG,"Affiliated Managers Group, Inc.",Asset Management,5181167950
AMGN,Amgen Inc.,Drug Manufacturers - General,165990808480
AMH,American Homes 4 Rent,REIT - Residential,13076211780
AMK,"AssetMark Financial Holdings, Inc.",Asset Management,2272521240
AMKR,"Amkor Technology, Inc.",Semiconductors,8157039920
AMLI,American Lithium Corp.,Other Industrial Metals & Mining,223242240
AMLX,"Amylyx Pharmaceuticals, Inc.",Biotechnology,991650301
AMN,"AMN Healthcare Services, Inc.",Medical Care Facilities,2854210723
AMNB,American National Bankshares Inc.,Banks - Regional,511892640
AMP,"Ameriprise Financial, Inc.",Asset Management,39727550860
AMPE,"Ampio Pharmaceuticals, Inc.",Biotechnology,1364514
AMPG,"AmpliTech Group, Inc.",Communication Equipment,20246060
AMPH,"Amphastar Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,2678981808
AMPL,"Amplitude, Inc.",Software - Application,1526688622
AMPS,"Altus Power, Inc.",Utilities - Renewable,906243000
AMPX,"Amprius Technologies, Inc.",Electrical Equipment & Parts,388255141
AMPY,Amplify Energy Corp.,Oil & Gas E&P,228324728
AMR,"Alpha Metallurgical Resources, Inc.",Coking Coal,5403502808
AMRC,"Ameresco, Inc.",Engineering & Construction,1195125840
AMRK,"A-Mark Precious Metals, Inc.",Capital Markets,647109892
AMRN,Amarin Corporation plc,Biotechnology,469833673
AMRX,"Amneal Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,1676795680
AMS,American Shared Hospital Services,Medical Care Facilities,17136000
AMSC,American Superconductor Corporation,Specialty Industrial Machinery,304094555
AMSF,"AMERISAFE, Inc.",Insurance - Specialty,933961842
AMST,Amesite Inc.,Software - Application,5529807
AMSWA,"American Software, Inc.",Software - Application,405897438
AMT,American Tower Corporation,REIT - Specialty,95106983300
AMTB,Amerant Bancorp Inc.,Banks - Regional,810006162
AMTD,AMTD IDEA Group,Asset Management,3484586411
AMTX,"Aemetis, Inc.",Oil & Gas Refining & Marketing,130173259
AMWD,American Woodmark Corporation,"Furnishings, Fixtures & Appliances",1523790112
AMWL,American Well Corporation,Health Information Services,333580038
AMX,"América Móvil, SAB de CV",Telecom Services,57414321900
AMZN,"Amazon.com, Inc.",Internet Retail,1599496520000
AN,"AutoNation, Inc.",Auto & Truck Dealerships,6065549325
ANAB,"AnaptysBio, Inc.",Biotechnology,631161000
ANDE,"The Andersons, Inc.",Food Distribution,1771320704
ANEB,"Anebulo Pharmaceuticals, Inc.",Biotechnology,61519680
ANET,"Arista Networks, Inc.",Computer Hardware,82939260000
ANF,Abercrombie & Fitch Co.,Apparel Retail,5275943685
ANGH,Anghami Inc.,Entertainment,29866968
ANGI,Angi Inc.,Internet Content & Information,1171528094
ANGO,"AngioDynamics, Inc.",Medical Instruments & Supplies,240326856
ANIK,"Anika Therapeutics, Inc.",Medical Devices,328395387
ANIP,"ANI Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,1147367739
ANIX,"Anixa Biosciences, Inc.",Biotechnology,153743545
ANL,Adlai Nortye Ltd.,Biotechnology,336530736
ANNX,"Annexon, Inc.",Biotechnology,348604545
ANSC,Agriculture & Natural Solutions Acquisition Corporation,Shell Companies,349485000
ANSS,"ANSYS, Inc.",Software - Application,29625362256
ANTE,AirNet Technology Inc.,Telecom Services,3330194
ANTX,"AN2 Therapeutics, Inc.",Biotechnology,564195212
ANVS,"Annovis Bio, Inc.",Biotechnology,132691539
ANY,Sphere 3D Corp.,Software - Application,27705729
AOGO,Arogo Capital Acquisition Corp.,Shell Companies,47066005
AOMR,"Angel Oak Mortgage, Inc.",REIT - Mortgage,271372811
AON,Aon plc,Insurance Brokers,61352188880
AONC,"American Oncology Network, Inc.",Medical Care Facilities,48801011
AORT,"Artivion, Inc.",Medical Devices,746674034
AOS,A. O. Smith Corporation,Specialty Industrial Machinery,12212921876
AOSL,Alpha and Omega Semiconductor Limited,Semiconductors,782689365
AOUT,"American Outdoor Brands, Inc.",Leisure,119276374
AP,Ampco-Pittsburgh Corporation,Metal Fabrication,50061564
APA,APA Corporation,Oil & Gas E&P,9306819050
APAC,StoneBridge Acquisition Corporation,Shell Companies,85027334
APAM,Artisan Partners Asset Management Inc.,Asset Management,3407140937
APCA,AP Acquisition Corp.,Shell Companies,174732230
APCX,AppTech Payments Corp.,Software - Infrastructure,32691622
APD,"Air Products and Chemicals, Inc.",Specialty Chemicals,57985952040
APDN,"Applied DNA Sciences, Inc.",Diagnostics & Research,8283614
APEI,"American Public Education, Inc.",Education & Training Services,219182870
APG,APi Group Corporation,Engineering & Construction,8010721078
APGE,"Apogee Therapeutics, Inc.",Biotechnology,1744209131
APH,Amphenol Corporation,Electronic Components,58616430700
API,"Agora, Inc.",Software - Application,261332472
APLD,Applied Digital Corporation,Capital Markets,594357855
APLE,"Apple Hospitality REIT, Inc.",REIT - Hotel & Motel,3798196200
APLM,"Apollomics, Inc.",Biotechnology,80443239
APLS,"Apellis Pharmaceuticals, Inc.",Biotechnology,7755825000
APLT,"Applied Therapeutics, Inc.",Biotechnology,212380300
APM,Aptorum Group Limited,Biotechnology,7258201
APO,"Apollo Global Management, Inc.",Asset Management,55308234750
APOG,"Apogee Enterprises, Inc.",Building Products & Equipment,1206288162
APP,AppLovin Corporation,Software - Application,14558676764
APPF,"AppFolio, Inc.",Software - Application,6511205001
APPN,Appian Corporation,Software - Infrastructure,2473658561
APPS,"Digital Turbine, Inc.",Software - Application,568337880
APRE,"Aprea Therapeutics, Inc.",Biotechnology,21747419
APT,"Alpha Pro Tech, Ltd.",Building Products & Equipment,58701384
APTM,Alpha Partners Technology Merger Corp.,Shell Companies,242753424
APTO,Aptose Biosciences Inc.,Biotechnology,15646449
APTV,Aptiv PLC,Auto Parts,22628960000
APVO,Aptevo Therapeutics Inc.,Biotechnology,3394738
APWC,Asia Pacific Wire & Cable Corporation Limited,Electrical Equipment & Parts,29068842
APXI,APx Acquisition Corp. I,Shell Companies,114159964
APYX,Apyx Medical Corporation,Medical Devices,73098629
AQB,"AquaBounty Technologies, Inc.",Farm Products,9232248
AQMS,"Aqua Metals, Inc.",Waste Management,70573081
AQN,Algonquin Power & Utilities Corp.,Utilities - Renewable,4093491410
AQST,"Aquestive Therapeutics, Inc.",Drug Manufacturers - Specialty & Generic,167585923
AQU,Aquaron Acquisition Corp.,Shell Companies,49151254
AR,Antero Resources Corporation,Oil & Gas E&P,6503772160
ARAV,"Aravive, Inc.",Biotechnology,3567786
ARAY,Accuray Incorporated,Medical Devices,285392268
ARBB,ARB IOT Group Limited,Information Technology Services,30450000
ARBE,Arbe Robotics Ltd.,Software - Infrastructure,150969975
ARBK,Argo Blockchain plc,Capital Markets,100626965
ARC,"ARC Document Solutions, Inc.",Specialty Business Services,126307692
ARCB,ArcBest Corporation,Trucking,2918931984
ARCC,Ares Capital Corporation,Asset Management,11610820430
ARCH,"Arch Resources, Inc.",Thermal Coal,3368598910
ARCO,Arcos Dorados Holdings Inc.,Restaurants,2580523738
ARCT,Arcturus Therapeutics Holdings Inc.,Biotechnology,912333462
ARDX,"Ardelyx, Inc.",Biotechnology,2047457160
ARE,"Alexandria Real Estate Equities, Inc.",REIT - Office,21445572750
AREB,"American Rebel Holdings, Inc.",Footwear & Accessories,1275060
AREC,American Resources Corporation,Coking Coal,117402456
AREN,"The Arena Group Holdings, Inc.",Internet Content & Information,19809185
ARES,Ares Management Corporation,Asset Management,22029176900
ARGX,argenx SE,Biotechnology,21578171085
ARHS,"Arhaus, Inc.",Home Improvement Retail,1673574985
ARI,"Apollo Commercial Real Estate Finance, Inc.",REIT - Mortgage,1655313890
ARIS,"Aris Water Solutions, Inc.",Utilities - Regulated Water,465001486
ARIZ,Arisz Acquisition Corp.,Shell Companies,56610179
